name,x,y
3110035E14Rik,6199.615309784334,13875.772456223396
3110035E14Rik,6206.905862304839,13869.718263931887
3110035E14Rik,6227.039407596777,13860.494994605107
3110035E14Rik,6199.9518582386945,13881.033557103077
3110035E14Rik,6295.8577219261015,13357.434901060182
3110035E14Rik,6269.5550115977885,13354.770906620228
3110035E14Rik,6296.021784321756,13335.247368750615
3110035E14Rik,6321.915527983521,14030.455968617649
3110035E14Rik,6299.474303472751,14230.713059263344
3110035E14Rik,6318.660535071427,14212.446242397471
3110035E14Rik,6360.783536093749,14689.049294996596
3110035E14Rik,6369.993834519328,14432.142698577887
3110035E14Rik,6438.682617055741,14971.485343846649
3110035E14Rik,6788.878724086295,15673.708551944716
3110035E14Rik,6833.2194729506455,14084.834706905156
3110035E14Rik,6831.7736067859405,14079.375234288813
3110035E14Rik,6841.233914574753,14092.388349290997
3110035E14Rik,6843.281727175898,14235.697847694271
3110035E14Rik,6845.720605786877,14249.966118337039
3110035E14Rik,6849.732286805953,14236.174881440656
3110035E14Rik,6843.769587388764,14240.47237740985
3110035E14Rik,6844.874565168948,14247.766780658098
3110035E14Rik,6869.277122955305,14476.101270053015
3110035E14Rik,6854.496649484767,14386.622344780986
3110035E14Rik,6853.813042732116,14399.91253442353
3110035E14Rik,6852.573287504244,14369.983210941606
3110035E14Rik,6863.392737737775,14372.797460643975
3110035E14Rik,6867.778785819151,14381.00861539945
3110035E14Rik,6882.519996339423,14627.020316967346
3110035E14Rik,6884.9599752179,14652.796719817576
3110035E14Rik,6884.897222475627,14646.97547010034
3110035E14Rik,6878.625511216561,14413.660074325358
3110035E14Rik,6878.742228494148,13980.658377114469
3110035E14Rik,6888.516570824509,14717.768450142583
3110035E14Rik,6889.49568041836,13758.64453145392
3110035E14Rik,6883.859493126506,13769.375447986364
3110035E14Rik,6894.91713390118,14119.634783470548
3110035E14Rik,6890.096588065864,14125.010690235997
3110035E14Rik,6881.493481316828,14120.490454824652
3110035E14Rik,6885.336698741097,14105.292481965265
3110035E14Rik,6891.562647424156,14121.88108785356
