name,x,y
3110035E14Rik,6223.249967812857,13393.250059651864
3110035E14Rik,6391.5231605992985,14949.400465812194
3110035E14Rik,6482.89609973952,13233.525908367814
3110035E14Rik,6556.3925986251825,14913.837556985707
3110035E14Rik,6614.375285473802,14705.95359456075
3110035E14Rik,6602.153197488025,14674.203857162134
3110035E14Rik,6789.483750186042,13975.19707234851
3110035E14Rik,6857.992372048388,14318.858719873446
3110035E14Rik,6887.253917396319,14102.99983779824
3110035E14Rik,6867.114214078926,14116.34622062565
3110035E14Rik,6892.571273011447,13744.142861594411
3110035E14Rik,6905.1596369683775,14824.055559789902
3110035E14Rik,6893.352838916548,14248.722263557102
3110035E14Rik,6895.574446147142,14604.604280003821
3110035E14Rik,6904.205904684024,14517.852478554158
3110035E14Rik,6930.276104142006,14004.592532548719
3110035E14Rik,6937.409224171746,13986.148050645592
3110035E14Rik,6939.335038262412,14367.215837701555
3110035E14Rik,6924.57651598767,14843.564722103629
3110035E14Rik,6938.343744608466,14624.064967318369
3110035E14Rik,6929.690610182085,14626.960359637138
3110035E14Rik,6929.090072587586,14636.02711738489
3110035E14Rik,6921.02943890427,13903.58683673247
3110035E14Rik,6935.408603425475,13899.248612952517
3110035E14Rik,6920.67246922005,14257.187376663054
3110035E14Rik,6929.185936482731,14254.28739506225
3110035E14Rik,6933.30116915927,14485.286716177561
3110035E14Rik,6945.570385431148,13683.00436144878
3110035E14Rik,6933.822705443901,14139.313638742264
3110035E14Rik,6956.156153605229,15475.163050574334
3110035E14Rik,6962.738146319567,14689.659994428665
3110035E14Rik,6974.484411125231,14625.227087605537
3110035E14Rik,6963.364370034702,14638.325080838784
3110035E14Rik,6987.913400807896,14316.694903554575
3110035E14Rik,6989.684127825166,13838.48442267636
3110035E14Rik,6973.0668172708465,14469.156996883312
3110035E14Rik,6967.707872979519,14482.238170140614
3110035E14Rik,6986.144783894921,14726.992611436253
3110035E14Rik,6970.380269916112,16013.365952370748
3110035E14Rik,6977.463046617201,14110.487229235063
3110035E14Rik,6975.0409910158505,14402.103671752204
3110035E14Rik,6968.9674848320465,14099.46492421927
3110035E14Rik,6975.046523750685,14831.492274172771
3110035E14Rik,6990.696544796976,14240.50166256694
3110035E14Rik,6995.920330988402,14571.358808491817
3110035E14Rik,6993.408851911168,14584.835887058527
3110035E14Rik,6990.251080372612,14339.394036776263
3110035E14Rik,6995.72405047556,14368.763569466466
3110035E14Rik,7007.836762511993,14202.43020300835
3110035E14Rik,7035.221109901245,14191.379487945862
3110035E14Rik,7000.833910036164,14191.930708913593
3110035E14Rik,7003.589645485554,14002.715596730279
3110035E14Rik,7020.013213203088,15006.193682561225
3110035E14Rik,7008.159633760717,14047.594756692875
3110035E14Rik,7018.25371088378,14055.976465842803
3110035E14Rik,6991.931385817275,14056.485960063581
3110035E14Rik,7021.644553347655,14018.715437786974
3110035E14Rik,7027.270711765184,14013.989886636165
3110035E14Rik,7014.0081136074505,14416.646544722142
3110035E14Rik,7033.019690046189,14563.781781386271
3110035E14Rik,7027.9360182010405,14073.007667338135
3110035E14Rik,7032.747883725531,14869.708334329727
3110035E14Rik,7025.965786507735,14853.72509341762
3110035E14Rik,7031.348222755526,14736.20243492263
3110035E14Rik,7029.9811240803965,14944.766858931785
3110035E14Rik,7043.720103603403,14253.860706049994
3110035E14Rik,7037.547961585058,14274.240287418046
3110035E14Rik,7037.142654383442,14483.346660953404
3110035E14Rik,7025.038806284914,13671.420822329912
3110035E14Rik,7028.424871667385,13684.620788380333
3110035E14Rik,7036.53220006933,14376.976690578436
3110035E14Rik,7043.191435246944,13799.052354060623
3110035E14Rik,7054.393616551222,14191.287325103716
3110035E14Rik,7054.830285897155,13736.49129127095
3110035E14Rik,7058.8189508440555,14050.284713169194
3110035E14Rik,7069.003411202609,14939.980489821557
3110035E14Rik,7061.47866980405,14351.913428351736
3110035E14Rik,7061.185261970672,13967.907604629265
3110035E14Rik,7068.508549644583,13981.254905870155
3110035E14Rik,7079.170519359808,14494.221907280718
3110035E14Rik,7083.384290643884,14388.560423669733
3110035E14Rik,7074.373370226256,14999.763930893834
3110035E14Rik,7080.379003667021,14988.235416533584
3110035E14Rik,7075.843104113639,14991.187477605194
3110035E14Rik,7095.681337954586,14636.569318394359
3110035E14Rik,7103.560677271048,14638.44022395595
3110035E14Rik,7122.712241008381,13803.918491226996
