model_class,Astro.1,Astro.2,Astro.3,Astro.4,Astro.5,Cacna2d1.Lhx6.Reln,Cacna2d1.Lhx6.Vwa5a,Cacna2d1.Ndnf.Cxcl14,Cacna2d1.Ndnf.Npy,Cacna2d1.Ndnf.Rgs10,Calb2.Cntnap5a.Igfbp6,Calb2.Cntnap5a.Rspo3,Calb2.Cntnap5a.Vip,Calb2.Cryab,Calb2.Vip.Gpd1,Calb2.Vip.Igfbp4,Calb2.Vip.Nos1,Cck.Calca,Cck.Cxcl14.Calb1.Igfbp5,Cck.Cxcl14.Calb1.Tac2,Cck.Cxcl14.Calb1.Tnfaip8l3,Cck.Cxcl14.Vip,Cck.Lmo1.Npy,Cck.Lmo1.Vip.Crh,Cck.Lmo1.Vip.Tac2,Cck.Lypd1,Cck.Sema5a,Choroid,Endo,Eryth.1,Eryth.2,Microglia.1,Microglia.2,Ntng1.Chrm2,Ntng1.Rgs10,Ntng1.Synpr,Oligo.1,Oligo.2,Oligo.3,Oligo.4,Oligo.5,PC.CA1.1,PC.CA1.2,PC.CA1.3,PC.Other1,PC.Other2,Pvalb.C1ql1.Cpne5,Pvalb.C1ql1.Npy,Pvalb.C1ql1.Pvalb,Pvalb.Tac1.Akr1c18,Pvalb.Tac1.Nr4a2,Pvalb.Tac1.Sst,Pvalb.Tac1.Syt2,Sst.Cryab,Sst.Erbb4.Crh,Sst.Erbb4.Rgs10,Sst.Erbb4.Th,Sst.Npy.Cort,Sst.Npy.Mgat4c,Sst.Npy.Serpine2,Sst.Npy.Zbtb20,Sst.Pnoc.Calb1.Igfbp5,Sst.Pnoc.Calb1.Pvalb,Sst.Pnoc.Pvalb,Vip.Crh.C1ql1,Vip.Crh.Pcp4,Vsmc,Zero
Astro.1,0.027505299718013004,0.028628051547309002,0.006495466211359001,0.010238311025600001,0.022503298386357003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001112007392493,0.018114066204690003,0.0020179705213860004,0.003967170452579,0.005233650872387001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048542149982070005,0.868698929323071
Astro.1,0.00595699796096,0.009559165521995,0.006294209728592,0.015988898398106,0.0038889755682510003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016137335527573002,0.003485115897635,0.0,0.034344600953333006,0.026468756984443002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003268724051111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001177649709336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025635439558441,0.8457931662848801
Astro.1,0.018640045496816002,0.023879926981263,0.04851194260095,0.012726212494752,0.014822912188747001,0.0,0.0,0.066854409839827,0.0,0.0,0.00366365757444,0.019420083734992002,0.0026287301495720003,0.53265592063624,0.0,0.001391375125817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003741335118886,0.011988252421424001,0.0,0.0,0.23284989430795902
Astro.1,0.0011117120540980001,0.0,0.0,0.0,0.0019157325771160002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001910453532735,0.002446204653943,0.0,0.0027516336876470004,0.0029552448562140004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023453048056667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008244849038276,0.9534589941342341
Astro.1,0.002618795044634,0.0015907782223830002,0.0,0.0,0.0033853945284760003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004191389727043001,0.014513576427122001,0.0,0.003706641536281,0.005735578622562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020590934157397,0.9421872410583441
Astro.1,0.0,0.0,0.0,0.0,0.002853579266812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009712666319144001,0.016746941059659,0.00122986058851,0.080641689165052,0.07359454080436201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031063493842165002,0.7818065168148111
Astro.1,0.0,0.0,0.0013822709156620001,0.0,0.002024483434814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031686347996830004,0.0,0.004392977980582,0.002370757586974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9837218741165
Astro.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001778193126311,0.0,0.0,0.0,0.0,0.0,0.0019575438547750003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006086782574512,0.0,0.007287085983596,0.007017983485975001,0.22051207082478602,0.0016698423297620002,0.0,0.09305990265638,0.0,0.29028213633397604,0.17713880701466603,0.014941806073299,0.17405684529175502,0.0,0.0,0.0,0.0
Astro.1,0.005309494716827,0.001337196293899,0.0028151680711820002,0.0034507786505500004,0.001334572077187,0.0,0.0,0.001237427840611,0.0,0.0,0.032053995559883,0.008261732879198,0.009583478879835001,0.269674317436147,0.0026613919550820004,0.004824150792882001,0.0011855891347920002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005815667246843,0.004196641571654,0.0,0.015998166885769,0.014919901630066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42123348201599703,0.024922020138984,0.0,0.001940118154934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001260374647298,0.002218722893718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004032153809369,0.0,0.007309921491365,0.15141321937895902
Astro.1,0.046762323266156,0.0059767400725790005,0.013021586984668002,0.002432867342117,0.015562633165960002,0.0,0.0,0.0,0.0,0.0,0.008318469885716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026689527981379003,0.0028738103781200002,0.0014154181163830001,0.011772299545651002,0.011148063135477001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055330896433858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044780595555023006,0.752238442465686
